Partito,URL,Tono,Punteggio
Fratelli d’Italia,https://www.liberoquotidiano.it/news/politica/33193452/l-ultima-parola-giorgia-meloni-enrico-mentana-fascismo-ancora-sinistra.html,Positivo,0.8968
Fratelli d’Italia,https://www.liberoquotidiano.it/news/politica/33194095/giorgia-meloni-wsj-pragmatica-perche-vincera.html,Positivo,0.83795
Fratelli d’Italia,https://www.liberoquotidiano.it/news/personaggi/33202699/giorgia-meloni-emanuele-trevisempre-qualche-fascista-accontentare.html,Positivo,0.8215
Fratelli d’Italia,https://www.liberoquotidiano.it/news/politica/33203780/giorgia-meloni-costretta-rinviare-voto-caos-seggio.html,Positivo Forte,0.9848
Fratelli d’Italia,https://www.liberoquotidiano.it/video/politica/33205493/giorgia-meloni-presidente-seggio-cosa-succedera-questa-sera.html,Positivo,0.884
Lega,https://www.liberoquotidiano.it/news/politica/33190643/zona-bianca-matteo-salvini-mia-ragione-vita.html,Neutro,0.6859999999999999
Lega,https://www.liberoquotidiano.it/news/politica/33194108/matteo-salvini-bollette-bloccate-prima-cosa-faremo-governo.html,Positivo,0.8030999999999999
Lega,https://www.liberoquotidiano.it/news/politica/33208738/elezioni-2022-segui-risultati-in-diretta.html,Positivo Forte,0.9977
Lega,https://www.liberoquotidiano.it/news/personaggi/33204868/matteo-salvini-oroscopo-elezioni-2022-profezia-cupa.html,Negativo,0.24045
Lega,https://www.liberoquotidiano.it/news/politica/33209008/matteo-salvini-ce-l-ho-in-testa-frase-fa-impazzire-repubblica.html,Positivo,0.8215
Movimento 5 Stelle,https://www.liberoquotidiano.it/news/spettacoli/televisione/33190640/mentana-gela-conte-non-tiri-fuori-pentole-imbarazzo-reazione.html,Positivo Forte,0.9368000000000001
Movimento 5 Stelle,https://www.liberoquotidiano.it/news/personaggi/33196321/marco-travaglio-cogl-oro-fatto-quotidiano-difesa-m5s-giuseppe-conte.html,Positivo,0.9101
Movimento 5 Stelle,https://www.liberoquotidiano.it/news/personaggi/33195209/enrico-mentana-giuseppe-conte-perche-cosi-contento-gelo-diretta.html,Positivo,0.8322499999999999
Movimento 5 Stelle,https://www.liberoquotidiano.it/news/politica/33194257/giuseppe-conte-piano-segreto-perche-punta-quirinale.html,Positivo Forte,0.9368000000000001
Movimento 5 Stelle,https://www.liberoquotidiano.it/news/politica/33209522/affluenza-crollo-sud-giuseppe-conte-trema-centrodestra-scenari-clamorosi.html,Positivo Forte,0.9368000000000001
Partito Democratico,https://www.liberoquotidiano.it/news/personaggi/33199248/giuseppe-cruciani-umilia-pd-sinistri-depressi-distrutti-godo.html,Positivo Forte,0.9269000000000001
Partito Democratico,https://www.liberoquotidiano.it/news/personaggi/33213813/giuliano-ferrara-contro-pd-carlo-calenda-armata-brancaleone.html,Positivo,0.8734999999999999
Partito Democratico,https://www.liberoquotidiano.it/news/politica/33217357/emanuele-fiano-umiliato-isabella-rauti-sesto-san-giorvanni.html,Positivo Forte,0.9818
Partito Democratico,https://www.liberoquotidiano.it/news/politica/33217294/elezioni-2022-giorgia-meloni-rovina-sinistra-restano-solo-barricate.html,Neutro,0.6859999999999999
Partito Democratico,https://www.liberoquotidiano.it/news/politica/33218964/pd-emanuele-fiano-enrico-letta-non-poteva-che-finire-cosi.html,Positivo Forte,0.9647
